team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PHI,2008,PHI,2008020075,PHI,S.J,AWAY,20081018,Team Level,other,0.1338,0.2222,0.2667,361,2.895,0.173,0.133,0.658,0.09,1.327,1.618,0.173,0.173,0.173,2,2,0,4,1,0,0,0,1,1,1,1,3,0,0,5,1,1,1,3,1,0,0.083,0.091,0,0,1,0,4,4,4,0,0.033,0,0,0.206,0.206,0.206,6.864,1.12,0.661,1.308,0.278,4.579,2.119,1,1.12,1,9,2,3,14,2,1,1,5,0,2,1,7,9,0,0,9,3,0,3,6,4,1,0.282,0.596,0.242,2,0,0,14,11,11,0,0.195,0.065,0.065,1.25,1.25,1.112
PHI,2008,PHI,2008020075,PHI,S.J,AWAY,20081018,Team Level,all,0.2856,0.3306,0.3187,3685,20.887,2.02,1.439,4.686,0.662,10.932,9.26,1.829,2.148,1.941,17,12,11,40,4,1,1,4,2,10,8,13,25,11,25,26,29,5,5,20,7,2,0.528,0.809,0.683,1,2,1,42.242,29,30.452,4,0.307,0.443,0.443,1.884,1.988,1.933,43.192,5.054,3.416,9.77,1.575,24.921,16.329,4.785,4.889,4.626,45,17,19,81,5,4,3,15,2,20,16,40,57,7,17,36,43,5,18,41,15,6,1.572,1.856,1.626,2,1,2,78.171,62,59.863,8,0.829,0.994,0.994,4.888,4.731,4.506
PHI,2008,PHI,2008020075,PHI,S.J,AWAY,20081018,Team Level,5on5,0.4,0.4051,0.4,2742,17.151,1.821,1.281,3.803,0.547,9.396,7.153,1.63,1.949,1.741,14,10,8,32,2,1,1,4,1,9,7,12,22,11,25,16,28,4,3,16,6,2,0.419,0.719,0.683,0,1,1,34.242,24,25.452,3,0.268,0.443,0.443,1.646,1.75,1.695,25.767,2.731,1.934,6.085,0.92,13.868,10.461,2.624,2.567,2.466,27,9,11,47,2,2,2,9,1,14,8,25,34,7,17,21,36,5,14,25,8,3,0.828,0.942,0.961,0,0,2,44.171,36,33.863,8,0.403,0.716,0.716,2.418,2.261,2.213
PHI,2008,PHI,2008020075,PHI,S.J,AWAY,20081018,Team Level,4on5,0.0212,0.05,0.0625,342,0.841,0.026,0.025,0.226,0.025,0.209,0.49,0.026,0.026,0.026,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0.026,0,0,1,0,0,1,1,1,1,0.005,0,0,0.032,0.032,0.032,10.562,1.202,0.82,2.377,0.377,6.474,3.749,1.161,1.202,1.161,9,6,4,19,1,1,0,1,1,4,7,8,14,0,0,4,0,0,1,10,3,2,0.462,0.318,0.423,0,1,0,19,15,15,0,0.231,0.213,0.213,1.22,1.22,1.181
PHI,2008,PHI,2008020075,PHI,S.J,AWAY,20081018,Team Level,5on4,0,0.75,0,240,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PHI,2008,PHI,2008020089,PHI,S.J,HOME,20081022,Team Level,other,1,0.6,1,26,3.62,0.303,0.267,0.841,0.139,2.087,1.362,0.293,0.303,0.293,4,1,1,6,1,1,1,0,0,1,2,3,4,0,0,0,0,1,1,4,1,0,0.106,0.198,0,0,1,0,6,5,5,0,0.066,0.198,0.198,0.172,0.172,0.171,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
PHI,2008,PHI,2008020089,PHI,S.J,HOME,20081022,Team Level,all,0.3845,0.4464,0.4756,3900,28.016,2.251,1.872,6.602,0.939,15.955,11.381,2.21,2.161,2.12,29,10,11,50,6,3,2,5,0,14,11,23,33,7,14,31,14,5,12,31,6,2,0.906,0.79,0.554,3,2,1,48.013,39,37.545,6,0.409,0.631,0.631,2.029,1.923,1.916,31.915,3.604,2.323,7.921,1.01,16.553,11.588,3.549,3.768,3.709,35,8,19,62,6,4,1,9,0,14,10,29,37,5,10,36,13,2,3,31,7,5,0.689,0.952,1.963,2,1,3,64.97,43,45.219,1,0.526,0.766,0.766,3.364,3.514,3.498
PHI,2008,PHI,2008020089,PHI,S.J,HOME,20081022,Team Level,5on5,0.3883,0.4684,0.4603,3248,20.846,1.482,1.324,4.875,0.681,12.036,8.602,1.468,1.391,1.377,21,8,8,37,3,1,0,4,0,12,9,18,26,7,14,20,11,2,10,23,5,1,0.635,0.593,0.254,2,1,0,35.013,29,27.545,5,0.269,0.133,0.133,1.617,1.512,1.507,25.107,2.335,1.793,6.369,0.813,12.908,9.783,2.281,2.498,2.441,27,7,8,42,4,3,1,6,0,11,10,23,30,5,10,27,12,0,2,24,7,3,0.604,0.952,0.779,2,1,1,44.97,34,36.219,1,0.371,0.753,0.753,1.952,2.103,2.09
PHI,2008,PHI,2008020089,PHI,S.J,HOME,20081022,Team Level,4on5,0.0291,0.0588,0.1,458,0.737,0.038,0.025,0.134,0.022,0.221,0.56,0.038,0.038,0.038,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,3,2,1,1,0,0,0.038,0,0,1,0,0,1,1,1,1,0.006,0,0,0.044,0.044,0.044,6.808,1.269,0.531,1.552,0.198,3.646,1.805,1.268,1.269,1.268,8,1,7,16,2,1,0,3,0,3,0,6,7,0,0,4,1,1,1,7,0,2,0.085,0,1.184,0,0,2,16,9,9,0,0.155,0.013,0.013,1.412,1.412,1.409
PHI,2008,PHI,2008020089,PHI,S.J,HOME,20081022,Team Level,5on4,1,1,1,168,2.813,0.428,0.256,0.751,0.097,1.611,0.857,0.412,0.428,0.412,3,1,2,6,1,1,1,1,0,1,0,2,3,0,0,4,0,0,0,3,0,1,0.128,0,0.3,0,0,1,6,4,4,0,0.068,0.3,0.3,0.196,0.196,0.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
